id,name
0,tying bow tie
1,using segway
2,springboard diving
3,taking a shower
4,blowing leaves
5,yawning
6,sniffing
7,digging
8,shredding paper
9,cooking on campfire
10,unloading truck
11,drinking shots
12,washing hair
13,swinging legs
14,applauding
15,bending metal
16,drumming fingers
17,water sliding
18,climbing a rope
19,whistling
20,recording music
21,grinding meat
22,making tea
23,exercising arm
24,reading newspaper
25,news anchoring
26,jogging
27,laying bricks
28,moving furniture
29,sharpening knives
30,rock scissors paper
31,running on treadmill
32,building shed
33,plastering
34,bee keeping
35,holding snake
36,waiting in line
37,gargling
38,building cabinet
39,shooting goal (soccer)
40,making sushi
41,faceplanting
42,making a sandwich
43,exercising with an exercise ball
44,sign language interpreting
45,cracking neck
46,garbage collecting
47,drawing
48,stomping grapes
49,cleaning pool
50,making a cake
51,peeling potatoes
52,breading or breadcrumbing
53,doing aerobics
54,slapping
55,tossing coin
56,sailing
57,passing American football (in game)
58,surfing crowd
59,playing cricket
60,shoveling snow
61,folding paper
62,shaking head
63,robot dancing
64,laughing
65,baking cookies
66,chopping wood
67,playing drums
68,clean and jerk
69,driving tractor
70,javelin throw
71,crossing river
72,spray painting
73,playing ice hockey
74,washing hands
75,playing saxophone
76,doing nails
77,dribbling basketball
78,using computer
79,bookbinding
80,playing badminton
81,brushing hair
82,eating ice cream
83,juggling balls
84,playing accordion
85,waxing legs
86,feeding fish
87,beatboxing
88,snowboarding
89,snatch weight lifting
90,tap dancing
91,hugging
92,swing dancing
93,clay pottery making
94,eating carrots
95,massaging legs
96,playing controller
97,trimming or shaving beard
98,assembling computer
99,brush painting
100,ice fishing
101,ironing
102,pumping gas
103,planting trees
104,waxing back
105,kicking soccer ball
106,using remote controller (not gaming)
107,bobsledding
108,eating watermelon
109,checking tires
110,cutting nails
111,crying
112,swimming backstroke
113,feeding goats
114,pumping fist
115,country line dancing
116,playing clarinet
117,biking through snow
118,ski jumping
119,washing dishes
120,passing American football (not in game)
121,dying hair
122,catching or throwing frisbee
123,bungee jumping
124,presenting weather forecast
125,filling eyebrows
126,drinking
127,sweeping floor
128,dodgeball
129,extinguishing fire
130,shooting basketball
131,flying kite
132,belly dancing
133,climbing tree
134,driving car
135,pushing car
136,tai chi
137,bowling
138,playing cello
139,riding elephant
140,golf putting
141,dunking basketball
142,playing paintball
143,playing poker
144,throwing discus
145,windsurfing
146,headbanging
147,motorcycling
148,zumba
149,capoeira
150,jumping into pool
151,walking the dog
152,bench pressing
153,yoga
154,jetskiing
155,canoeing or kayaking
156,playing guitar
157,tango dancing
158,mowing lawn
159,pull ups
160,skateboarding
161,arm wrestling
162,playing bass guitar
163,feeding birds
164,playing tennis
165,riding or walking with horse
166,skiing (not slalom or crosscountry)
167,playing organ
168,dining
169,making bed
170,bouncing on trampoline
171,folding clothes
172,knitting
173,playing piano
174,cleaning windows
175,cleaning shoes
176,riding mechanical bull
177,tapping pen
178,golf chipping
179,texting
180,playing trombone
181,cutting pineapple
182,changing oil
183,drop kicking
184,riding camel
185,flipping pancake
186,stretching arm
187,blasting sand
188,waxing eyebrows
189,playing keyboard
190,celebrating
191,playing basketball
192,dancing charleston
193,hopscotch
194,water skiing
195,braiding hair
196,playing cards
197,playing monopoly
198,opening bottle
199,eating chips
